diet,eyeSpan
Corn,2.124822102
Corn,2.099065992
Corn,2.030491185
Corn,2.140575487
Corn,2.112538473
Corn,2.060107464
Corn,2.040705571
Corn,2.148408236
Corn,2.003718231
Corn,2.00687806
Corn,1.987894785
Corn,2.145467636
Corn,2.03786133
Corn,1.982903278
Corn,1.893722335
Corn,1.966467968
Corn,2.022744327
Corn,1.91477821
Corn,2.013084974
Corn,1.985976642
Corn,1.793815645
Cotton,2.046298022
Cotton,2.110470533
Cotton,2.03440951
Cotton,2.01393483
Cotton,1.877804729
Cotton,1.732326135
Cotton,1.570407618
Cotton,1.608084258
Cotton,1.642335184
Cotton,1.676896487
Cotton,1.474844248
Cotton,1.460378456
Cotton,1.578845487
Cotton,1.38842816
Cotton,1.450027466
Cotton,1.545013723
Cotton,1.290499796
Cotton,1.408285998
Cotton,1.291744322
Cotton,1.276664795
Cotton,1.18162021
Cotton,1.348749405
Cotton,0.995859603
Cotton,1.152025091